PRODUCT_ID,BROWSE_NODE_ID
1,1140
2,2321
3,1647
4,125
5,7644
6,2020
7,2020
8,8269
9,654
10,76655
11,2321
12,4
13,1045
14,2321
15,14478
16,1281
17,1247
18,787
19,962
20,251
21,4
22,1079
23,4
24,1045
25,654
26,4
27,407
28,1045
29,2020
30,2020
31,1045
32,2321
33,106
34,60231
35,3175
36,3175
37,1045
38,3175
39,4
40,5112
41,11
42,4
43,1045
44,1045
45,1045
46,4
47,796
48,796
49,1045
50,4306
51,654
52,2647
53,1045
54,6696
55,4
56,322
57,251
58,2020
59,739
60,1045
61,241
62,1319
63,7731
64,1295
65,1045
66,1045
67,256
68,2673
69,840
70,1045
71,82
72,55
73,1973
74,3867
75,1193
76,1833
77,2020
78,811
79,322
80,2020
81,1045
82,1084
83,1209
84,25106
85,1296
86,419
87,81972
88,2020
89,1045
90,796
91,11567
92,1045
93,1239
94,1164
95,1045
96,1045
97,507
98,1045
99,840
100,1658
101,1671
102,1045
103,1045
104,1045
105,771
106,1045
107,506
108,8082
109,8504
110,396
111,1024
112,1045
113,1045
114,1045
115,1045
116,1295
117,3867
118,2229
119,1045
120,1045
121,65919
122,1045
123,1687
124,2029
125,1295
126,1045
127,81
128,818
129,6
130,1045
131,1045
132,1045
133,4
134,1240
135,1762
136,9883
137,748
138,74
139,3719
140,507
141,59691
142,1724
143,1045
144,1295
145,4
146,1295
147,1045
148,4
149,818
150,4
151,507
152,9883
153,4
154,6
155,1597
156,8594
157,324
158,654
159,507
160,507
161,2385
162,12088
163,2379
164,16174
165,1281
166,6
167,289
168,81972
169,1239
170,43
171,912
172,5338
173,782
174,2318
175,9643
176,858
177,2181
178,834
179,834
180,13940
181,1052
182,507
183,1531
184,4867
185,76
186,328
187,6
188,23399
189,4947
190,811
191,507
192,413
193,507
194,2516
195,1973
196,396
197,2560
198,968
199,2181
200,459
201,1835
202,3770
203,1232
204,1777
205,4
206,654
207,1287
208,1973
209,4
210,439
211,1072
212,3867
213,1045
214,10779
215,1988
216,507
217,1251
218,4
219,311
220,993
221,2379
222,1232
223,1164
224,2020
225,800
226,3503
227,922
228,1988
229,532
230,800
231,17785
232,800
233,7731
234,800
235,4
236,2020
237,2321
238,76
239,237
240,631
241,60231
242,3138
243,2321
244,1117
245,701
246,6711
247,1045
248,123148
249,1045
250,1045
251,2020
252,2020
253,708
254,969
255,2321
256,1045
257,5041
258,2321
259,1045
260,1045
261,507
262,576
263,374
264,106
265,1045
266,1930
267,1045
268,1045
269,3175
270,803
271,2321
272,1454
273,1045
274,1295
275,256
276,2093
277,1010
278,2020
279,2020
280,636
281,507
282,805
283,1813
284,2813
285,998
286,1240
287,2957
288,1045
289,654
290,1084
291,1092
292,1084
293,1045
294,1045
295,507
296,1045
297,1045
298,1045
299,1045
300,1045
301,3522
302,1010
303,2057
304,2020
305,4
306,810
307,1045
308,22
309,1045
310,5471
311,1045
312,2807
313,1045
314,1045
315,34698
316,465
317,289
318,1045
319,1045
320,1240
321,8082
322,256
323,422
324,92
325,507
326,666
327,26425
328,5471
329,5970
330,6
331,1045
332,1045
333,1194
334,1045
335,1194
336,1045
337,1013
338,1870
339,1045
340,1045
341,1045
342,1045
343,1045
344,621
345,289
346,1045
347,1045
348,1045
349,1045
350,810
351,811
352,6
353,2181
354,1045
355,1045
356,289
357,1045
358,2807
359,1045
360,1045
361,1045
362,1415
363,1045
364,1045
365,1186
366,1045
367,1045
368,507
369,69
370,6
371,1045
372,525
373,1045
374,1045
375,1045
376,1045
377,816
378,1045
379,289
380,1045
381,50533
382,3175
383,2020
384,81621
385,654
386,1973
387,422
388,4
389,19
390,2983
391,1484
392,1186
393,1045
394,7137
395,532
396,1045
397,1313
398,3446
399,2977
400,507
401,1348
402,379
403,2091
404,4076
405,507
406,289
407,1083
408,1003
409,636
410,1083
411,2020
412,2020
413,834
414,2378
415,289
416,289
417,374
418,1973
419,328
420,1433
421,1433
422,1052
423,818
424,818
425,9424
426,1092
427,989
428,4947
429,1988
430,2614
431,348915
432,7731
433,17269
434,594
435,7731
436,1699
437,7731
438,328
439,1876
440,507
441,1052
442,1922
443,1603
444,1164
445,82
446,324
447,8594
448,1973
449,17397
450,5900
451,818
452,11567
453,50533
454,1045
455,507
456,1454
457,92
458,251
459,1194
460,1024
461,5061
462,2181
463,5900
464,324
465,2524
466,1213
467,227
468,4026
469,102268
470,52941
471,1551
472,14490
473,251
474,1267
475,3503
476,4
477,439
478,800
479,2020
480,555
481,20719
482,1186
483,2020
484,796
485,1092
486,2020
487,4
488,8400
489,818
490,2321
491,3503
492,2020
493,4902
494,1045
495,3474
496,1045
497,2020
498,1045
499,458
500,834
501,86
502,1045
503,1717
504,1563
505,1045
506,4575
507,1045
508,1139
509,40
510,2321
511,1053
512,2508
513,1045
514,5
515,1045
516,3976
517,2297
518,289
519,1194
520,796
521,4312
522,796
523,1295
524,1117
525,654
526,5
527,406
528,422
529,1351
530,1002
531,5041
532,1045
533,1045
534,413
535,1045
536,1045
537,381
538,1045
539,427
540,2516
541,796
542,739
543,1045
544,1351
545,507
546,1045
547,9106
548,1045
549,1433
550,396
551,1045
552,422
553,1045
554,251
555,31841
556,1045
557,872
558,1045
559,23660
560,1045
561,1295
562,1045
563,1045
564,1045
565,8269
566,6846
567,701
568,1724
569,86
570,4
571,15011
572,6500
573,630
574,1876
575,32189
576,1045
577,152
578,810
579,1045
580,1239
581,534
582,1045
583,507
584,630
585,1045
586,1045
587,1045
588,1045
589,1045
590,1045
591,977
592,1045
593,1045
594,748
595,1045
596,1922
597,1045
598,1045
599,1045
600,1045
601,1084
602,1045
603,1045
604,840
605,1045
606,1973
607,1045
608,1045
609,1045
610,1045
611,818
612,1684
613,11
614,1045
615,1045
616,1339
617,427
618,1045
